Word,Vowel,F1,F2
23,iy,240,2100
23,iy,240,2150
23,ih,380,1870
23,ih,430,1710
23,eh,580,1770
23,eh,570,1750
23,ae,760,1580
23,ae,715,1500
23,ah,620,880
23,ah,650,1000
23,aa,710,950
23,aa,690,960
23,ao,460,610
23,ao,470,710
23,uh,390,900
23,uh,460,920
23,uw,250,690
23,uw,270,650
23,er,540,1280
23,er,510,1280
24,iy,280,2450
24,iy,288,2500
24,ih,400,2080
24,ih,384,2110
24,eh,590,1900
24,eh,583,1840
24,ae,680,1850
24,ae,685,1780
24,ah,660,1370
24,ah,680,1300
24,aa,760,1260
24,aa,770,1140
24,ao,500,800
24,ao,600,1000
24,uh,380,1060
24,uh,470,1220
24,uw,324,800
24,uw,290,800
24,er,560,1350
24,er,600,1470
25,iy,250,2190
25,iy,254,2085
25,ih,330,1967
25,ih,430,1940
25,eh,464,2100
25,eh,504,1995
25,ae,595,1900
25,ae,670,1860
25,ah,620,1200
25,ah,630,1127
25,aa,750,1160
25,aa,740,1155
25,ao,460,740
25,ao,494,789
25,uh,400,1020
25,uh,450,1028
25,uw,392,1000
25,uw,350,898
25,er,547,1340
25,er,512,1280
26,iy,246,2185
26,iy,267,2280
26,ih,420,2300
26,ih,384,2110
26,eh,480,1920
26,eh,551,1788
26,ae,628,1837
26,ae,622,1890
26,ah,628,1254
26,ah,617,1255
26,aa,690,1072
26,aa,630,1000
26,ao,510,700
26,ao,504,756
26,uh,465,990
26,uh,462,976
26,uw,324,708
26,uw,387,786
26,er,488,1468
26,er,472,1465
27,iy,275,2060
27,iy,270,2020
27,ih,349,2030
27,ih,340,1940
27,eh,444,1800
27,eh,380,1800
27,ae,688,1600
27,ae,660,1570
27,ah,565,1157
27,ah,550,1150
27,aa,712,1024
27,aa,670,1080
27,ao,550,913
27,ao,550,890
27,uh,360,1028
27,uh,390,1060
27,uw,294,930
27,uw,280,1000
27,er,440,1250
27,er,480,1160
28,iy,320,2160
28,iy,267,2230
28,ih,440,1750
28,ih,390,1780
28,eh,525,1800
28,eh,520,1750
28,ae,660,1600
28,ae,720,1680
28,ah,600,1250
28,ah,575,1170
28,aa,730,1160
28,aa,860,1280
28,ao,560,810
28,ao,584,840
28,uh,455,970
28,uh,456,1040
28,uw,350,820
28,uw,366,772
28,er,450,1420
28,er,472,1430
29,iy,333,2305
29,iy,326,2260
29,ih,375,2188
29,ih,400,2150
29,eh,500,1980
29,eh,480,1950
29,ae,640,1710
29,ae,615,1720
29,ah,583,1110
29,ah,608,1120
29,aa,777,1170
29,aa,750,1175
29,ao,630,891
29,ao,572,924
29,uh,438,975
29,uh,420,938
29,uw,333,800
29,uw,320,840
29,er,480,1320
29,er,483,1335
30,iy,267,2300
30,iy,220,2300
30,ih,431,2040
30,ih,360,2010
30,eh,565,1950
30,eh,540,2000
30,ae,600,2000
30,ae,590,1950
30,ah,630,1140
30,ah,630,1170
30,aa,730,1048
30,aa,730,1130
30,ao,600,900
30,ao,640,890
30,uh,448,960
30,uh,450,1000
30,uw,333,835
30,uw,280,750
30,er,488,1300
30,er,490,1380
31,iy,312,2380
31,iy,300,2350
31,ih,490,2000
31,ih,490,1960
31,eh,640,2000
31,eh,555,1870
31,ae,697,1610
31,ae,684,1634
31,ah,633,1260
31,ah,660,1213
31,aa,730,1203
31,aa,752,1125
31,ao,507,755
31,ao,538,816
31,uh,456,1040
31,uh,480,1120
31,uw,344,960
31,uw,350,1000
31,er,539,1370
31,er,549,1353
32,iy,292,2500
32,iy,266,2370
32,ih,372,2220
32,ih,350,2130
32,eh,574,1840
32,eh,563,1960
32,ae,650,1738
32,ae,663,1820
32,ah,600,1370
32,ah,625,1312
32,aa,735,1070
32,aa,713,1180
32,ao,625,875
32,ao,700,1000
32,uh,420,1100
32,uh,420,1120
32,uw,350,980
32,uw,320,918
32,er,554,1480
32,er,484,1505
33,iy,286,2415
33,iy,300,2415
33,ih,400,1980
33,ih,407,2095
33,eh,525,1988
33,eh,553,1935
33,ae,640,1773
33,ae,640,1840
33,ah,672,1272
33,ah,658,1241
33,aa,780,1170
33,aa,788,1115
33,ao,633,891
33,ao,600,935
33,uh,490,1102
33,uh,492,1077
33,uw,320,960
33,uw,320,960
33,er,543,1310
33,er,508,1309
34,iy,370,2670
34,iy,390,2760
34,ih,468,2330
34,ih,410,2380
34,eh,550,2200
34,eh,570,2100
34,ae,800,1980
34,ae,860,1920
34,ah,635,1200
34,ah,700,1200
34,aa,880,1240
34,aa,830,1200
34,ao,570,830
34,ao,700,1000
34,uh,410,940
34,uh,450,970
34,uw,480,955
34,uw,395,810
34,er,500,1850
34,er,560,1750
35,iy,270,2760
35,iy,290,2700
35,ih,460,2500
35,ih,410,2400
35,eh,620,2300
35,eh,630,2300
35,ae,820,2180
35,ae,740,2120
35,ah,800,1300
35,ah,760,1400
35,aa,850,1120
35,aa,880,1220
35,ao,460,900
35,ao,440,880
35,uh,500,1040
35,uh,490,1000
35,uw,400,940
35,uw,410,860
35,er,440,1560
35,er,420,1600
36,iy,290,2700
36,iy,280,2630
36,ih,420,2300
36,ih,420,2220
36,eh,640,2120
36,eh,700,2000
36,ae,1000,1830
36,ae,980,1800
36,ah,780,1410
36,ah,710,1450
36,aa,950,1280
36,aa,870,1260
36,ao,610,900
36,ao,630,840
36,uh,440,1050
36,uh,420,1050
36,uw,380,860
36,uw,330,750
36,er,580,1450
36,er,540,1560
37,iy,294,2800
37,iy,270,2880
37,ih,420,2430
37,ih,420,2370
37,eh,580,2180
37,eh,540,2160
37,ae,820,1970
37,ae,840,2000
37,ah,690,1200
37,ah,666,1206
37,aa,800,1200
37,aa,760,1140
37,ao,560,760
37,ao,560,770
37,uh,430,1075
37,uh,430,1000
37,uw,330,840
37,uw,280,850
37,er,430,1800
37,er,420,1740
38,iy,350,2800
38,iy,338,2870
38,ih,400,2540
38,ih,420,2680
38,eh,518,2470
38,eh,600,2400
38,ae,773,2000
38,ae,875,2100
38,ah,733,1468
38,ah,740,1280
38,aa,730,1210
38,aa,735,1220
38,ao,560,960
38,ao,536,850
38,uh,424,1040
38,uh,520,1060
38,uw,380,770
38,uw,340,750
38,er,490,2120
38,er,493,1930
39,iy,325,2700
39,iy,310,2750
39,ih,350,2580
39,ih,390,2700
39,eh,560,2330
39,eh,520,2500
39,ae,806,1970
39,ae,825,1860
39,ah,708,1485
39,ah,676,1500
39,aa,800,1200
39,aa,714,1154
39,ao,530,800
39,ao,485,810
39,uh,450,1460
39,uh,467,1400
39,uw,450,1080
39,uw,400,1000
39,er,524,1700
39,er,507,1800
40,iy,300,3100
40,iy,300,3100
40,ih,428,2570
40,ih,440,2640
40,eh,528,2540
40,eh,504,2520
40,ae,940,2250
40,ae,820,2200
40,ah,816,1450
40,ah,858,1500
40,aa,960,1280
40,aa,1040,1300
40,ao,520,880
40,ao,574,890
40,uh,466,1330
40,uh,466,1165
40,uw,300,850
40,uw,350,840
40,er,432,1790
40,er,360,1900
41,iy,337,2700
41,iy,340,2720
41,ih,474,2370
41,ih,475,2400
41,eh,526,2360
41,eh,580,2360
41,ae,690,2185
41,ae,660,2200
41,ah,675,1551
41,ah,690,1630
41,aa,845,1334
41,aa,888,1290
41,ao,631,923
41,ao,543,980
41,uh,537,1360
41,uh,480,1345
41,uw,400,1180
41,uw,396,1120
41,er,450,1640
41,er,489,1630
42,iy,225,2760
42,iy,230,2850
42,ih,429,2560
42,ih,430,2575
42,eh,579,2570
42,eh,536,2570
42,ae,823,2220
42,ae,800,2100
42,ah,750,1500
42,ah,738,1300
42,aa,840,1300
42,aa,990,1340
42,ao,579,856
42,ao,545,905
42,uh,490,1220
42,uh,513,1500
42,uw,400,1250
42,uw,405,1080
42,er,466,1860
42,er,540,1780
43,iy,290,3000
43,iy,325,2900
43,ih,500,2370
43,ih,476,2380
43,eh,760,2380
43,eh,746,2290
43,ae,1008,1990
43,ae,1040,2000
43,ah,830,1540
43,ah,900,1510
43,aa,970,1343
43,aa,592,1230
43,ao,650,900
43,ao,687,1060
43,uh,512,1211
43,uh,467,1167
43,uw,450,875
43,uw,420,935
43,er,622,1750
43,er,652,1710
44,iy,275,2800
44,iy,245,2800
44,ih,534,2500
44,ih,528,2640
44,eh,700,2380
44,eh,750,2480
44,ae,1020,1900
44,ae,1005,2050
44,ah,750,1500
44,ah,850,1400
44,aa,978,1290
44,aa,935,1230
44,ao,500,750
44,ao,632,850
44,uh,350,1170
44,uh,450,1000
44,uw,358,640
44,uw,300,750
44,er,520,1560
44,er,500,1500
45,iy,236,2790
45,iy,242,2770
45,ih,444,2555
45,ih,420,2700
45,eh,634,2325
45,eh,608,2475
45,ae,1010,2060
45,ae,980,2160
45,ah,818,1450
45,ah,750,1280
45,aa,820,1200
45,aa,900,1120
45,ao,440,749
45,ao,567,752
45,uh,460,1045
45,uh,480,1105
45,uw,420,1000
45,uw,350,1100
45,er,487,1500
45,er,467,1420
46,iy,360,2920
46,iy,340,2840
46,ih,514,2570
46,ih,500,2680
46,eh,650,2495
46,eh,650,2380
46,ae,1020,2030
46,ae,1000,2200
46,ah,788,1462
46,ah,736,1500
46,aa,987,1330
46,aa,1009,1415
46,ao,672,1084
46,ao,627,1045
46,uh,500,1200
46,uh,460,1150
46,uw,420,990
46,uw,380,893
46,er,610,1630
46,er,585,1700
47,iy,285,2900
47,iy,310,2900
47,ih,480,2670
47,ih,440,2620
47,eh,550,2370
47,eh,520,2340
47,ae,790,2180
47,ae,840,2160
47,ah,840,1400
47,ah,760,1330
47,aa,900,1290
47,aa,900,1240
47,ao,700,1050
47,ao,720,1080
47,uh,540,1200
47,uh,570,1200
47,uw,400,980
47,uw,440,990
47,er,570,2000
47,er,510,1850
48,iy,340,2750
48,iy,360,2760
48,ih,480,2390
48,ih,520,2450
48,eh,620,2520
48,eh,620,2440
48,ae,1110,2160
48,ae,1070,1960
48,ah,820,1240
48,ah,860,1300
48,aa,840,1110
48,aa,850,1120
48,ao,500,700
48,ao,380,720
48,uh,400,940
48,uh,380,860
48,uw,330,760
48,uw,350,710
48,er,550,1780
48,er,600,1750
49,iy,320,2360
49,iy,304,2380
49,ih,444,2220
49,ih,420,2090
49,eh,500,2350
49,eh,600,2200
49,ae,845,1700
49,ae,860,1724
49,ah,720,1440
49,ah,707,1470
49,aa,700,1080
49,aa,767,1150
49,ao,600,860
49,ao,600,900
49,uh,546,1090
49,uh,462,1240
49,uw,360,930
49,uw,440,1100
49,er,540,1400
49,er,460,1350
50,iy,406,2600
50,iy,400,2600
50,ih,460,2300
50,ih,420,2305
50,eh,570,2100
50,eh,538,2175
50,ae,850,1853
50,ae,830,1800
50,ah,720,1500
50,ah,800,1400
50,aa,915,1280
50,aa,723,1196
50,ao,575,1073
50,ao,600,1100
50,uh,520,1210
50,uh,468,1275
50,uw,370,1000
50,uw,330,970
50,er,560,1600
50,er,514,1540
51,iy,380,2880
51,iy,380,2820
51,ih,514,2600
51,ih,473,2660
51,eh,567,2460
51,eh,521,2460
51,ae,808,2070
51,ae,678,2420
51,ah,800,1340
51,ah,772,1280
51,aa,843,1190
51,aa,740,1160
51,ao,623,1022
51,ao,594,990
51,uh,480,960
51,uh,484,900
51,uw,370,933
51,uw,325,750
51,er,450,1680
51,er,466,1630
52,iy,320,2750
52,iy,356,2755
52,ih,388,2622
52,ih,426,2460
52,eh,592,2242
52,eh,535,2290
52,ae,750,2060
52,ae,650,2110
52,ah,618,1518
52,ah,624,1430
52,aa,766,1180
52,aa,750,1065
52,ao,595,918
52,ao,630,985
52,uh,420,1200
52,uh,460,1260
52,uw,375,1124
52,uw,375,1143
52,er,504,1565
52,er,513,1578
53,iy,357,2800
53,iy,340,2860
53,ih,480,2600
53,ih,465,2598
53,eh,700,2350
53,eh,737,2325
53,ae,960,2100
53,ae,1030,2200
53,ah,920,1512
53,ah,910,1688
53,aa,990,1237
53,aa,987,1172
53,ao,587,1068
53,ao,560,990
53,uh,520,1350
53,uh,510,1415
53,uw,420,1045
53,uw,390,960
53,er,460,1860
53,er,504,1820
54,iy,240,2760
54,iy,220,2850
54,ih,319,2500
54,ih,324,2500
54,eh,616,2380
54,eh,615,2300
54,ae,710,2120
54,ae,690,2250
54,ah,800,1520
54,ah,780,1470
54,aa,995,1392
54,aa,1000,1400
54,ao,656,944
54,ao,720,960
54,uh,335,1049
54,uh,420,1009
54,uw,329,877
54,uw,340,900
54,er,400,1380
54,er,400,1240
55,iy,286,2800
55,iy,289,2800
55,ih,383,2420
55,ih,384,2400
55,eh,418,2430
55,eh,460,2300
55,ae,861,2100
55,ae,896,2040
55,ah,654,1160
55,ah,690,1195
55,aa,860,1103
55,aa,806,1060
55,ao,606,910
55,ao,583,860
55,uh,340,900
55,uh,470,1100
55,uw,308,1025
55,uw,329,1151
55,er,533,1425
55,er,535,1412
56,iy,307,2670
56,iy,340,2700
56,ih,417,2300
56,ih,410,2200
56,eh,644,2250
56,eh,670,2300
56,ae,784,1800
56,ae,820,1750
56,ah,765,1300
56,ah,730,1390
56,aa,834,1282
56,aa,850,1270
56,ao,688,1029
56,ao,670,1040
56,uh,427,1506
56,uh,460,1370
56,uw,378,1416
56,uw,380,1430
56,er,460,1200
56,er,410,1580
57,iy,384,2860
57,iy,375,3000
57,ih,460,2665
57,ih,467,2680
57,eh,640,2400
57,eh,630,2530
57,ae,700,2560
57,ae,675,2510
57,ah,768,1440
57,ah,794,1447
57,aa,978,1362
57,aa,933,1350
57,ao,700,1080
57,ao,720,1090
57,uh,500,1215
57,uh,500,1240
57,uw,470,1000
57,uw,378,950
57,er,480,1410
57,er,493,1580
58,iy,320,2900
58,iy,290,2750
58,ih,460,2380
58,ih,480,2260
58,eh,640,2220
58,eh,670,2250
58,ae,950,1970
58,ae,980,1950
58,ah,750,1280
58,ah,770,1340
58,aa,950,1130
58,aa,850,1150
58,ao,530,870
58,ao,600,900
58,uh,600,1225
58,uh,630,1320
58,uw,440,1290
58,uw,460,1080
58,er,600,1500
58,er,610,1520
59,iy,280,2690
59,iy,280,2740
59,ih,470,2500
59,ih,440,2480
59,eh,730,2300
59,eh,750,2340
59,ae,860,2070
59,ae,890,1920
59,ah,770,1540
59,ah,800,1410
59,aa,790,1250
59,aa,820,1210
59,ao,408,695
59,ao,420,590
59,uh,500,1230
59,uh,480,1230
59,uw,419,1050
59,uw,390,1060
59,er,420,1720
59,er,510,1680
60,iy,270,2820
60,iy,250,2880
60,ih,370,2530
60,ih,400,2600
60,eh,640,2360
60,eh,650,2430
60,ae,900,2090
60,ae,860,2160
60,ah,750,1540
60,ah,770,1530
60,aa,920,1350
60,aa,920,1470
60,ao,720,1110
60,ao,700,1100
60,uh,470,1200
60,uh,470,1190
60,uw,380,980
60,uw,340,920
60,er,530,1670
60,er,500,1720
61,iy,310,2740
61,iy,262,2680
61,ih,450,2310
61,ih,472,2270
61,eh,640,1980
61,eh,700,2110
61,ae,810,1860
61,ae,890,1800
61,ah,710,1340
61,ah,740,1470
61,aa,830,1020
61,aa,830,1095
61,ao,600,850
61,ao,455,810
61,uh,400,1070
61,uh,450,1050
61,uw,290,670
61,uw,330,630
61,er,500,1630
61,er,490,1580
62,iy,460,3300
62,iy,400,3400
62,ih,600,2550
62,ih,610,2500
62,eh,600,2750
62,eh,760,2500
62,ae,1000,2300
62,ae,800,2500
62,ah,1000,1750
62,ah,1110,1690
62,aa,1220,1560
62,aa,1300,1800
62,ao,660,1100
62,ao,690,1090
62,uh,620,1420
62,uh,620,1410
62,uw,440,900
62,uw,400,650
62,er,610,2300
62,er,450,2150
63,iy,320,3500
63,iy,350,3400
63,ih,640,3200
63,ih,650,3000
63,eh,850,2900
63,eh,700,3120
63,ae,1130,2560
63,ae,1140,2000
63,ah,1130,1740
63,ah,1000,1800
63,aa,1170,1500
63,aa,980,1300
63,ao,530,1060
63,ao,540,1080
63,uh,560,1440
63,uh,570,1450
63,uw,350,1280
63,uw,340,1160
63,er,560,1740
63,er,600,1800
64,iy,380,3140
64,iy,310,3350
64,ih,580,2760
64,ih,500,2660
64,eh,780,2450
64,eh,672,2550
64,ae,660,2900
64,ae,760,2850
64,ah,880,1500
64,ah,850,1700
64,aa,940,1380
64,aa,1200,1500
64,ao,750,1250
64,ao,675,950
64,uh,610,1500
64,uh,500,1370
64,uw,300,1280
64,uw,400,1300
64,er,500,1540
64,er,580,1620
65,iy,410,3200
65,iy,420,3400
65,ih,580,2900
65,ih,560,2840
65,eh,810,2640
65,eh,780,2720
65,ae,1080,2480
65,ae,1050,2420
65,ah,970,1600
65,ah,800,1680
65,aa,1040,1350
65,aa,1100,1460
65,ao,770,1150
65,ao,710,1200
65,uh,680,1420
65,uh,640,1350
65,uw,420,1110
65,uw,505,1050
65,er,640,1940
65,er,610,2100
66,iy,460,2800
66,iy,490,2730
66,ih,560,2500
66,ih,580,2500
66,eh,800,2300
66,eh,835,2420
66,ae,950,2150
66,ae,1000,2150
66,ah,880,1700
66,ah,900,1600
66,aa,990,1410
66,aa,1050,1320
66,ao,770,940
66,ao,680,1020
66,uh,550,1195
66,uh,550,1340
66,uw,600,1200
66,uw,550,1100
66,er,805,1705
66,er,710,1700
67,iy,340,3400
67,iy,590,3610
67,ih,680,3250
67,ih,440,3000
67,eh,660,2900
67,eh,610,2760
67,ae,1240,2700
67,ae,1050,2550
67,ah,820,1470
67,ah,970,1410
67,aa,1090,1380
67,aa,860,1250
67,ao,800,1220
67,ao,640,1070
67,uh,660,1360
67,uh,730,1500
67,uw,620,1100
67,uw,600,1280
67,er,670,2130
67,er,760,2240
68,iy,330,3250
68,iy,340,3100
68,ih,500,2500
68,ih,530,2630
68,eh,710,2550
68,eh,750,2480
68,ae,1140,2260
68,ae,1110,2230
68,ah,770,1540
68,ah,800,1490
68,aa,940,1400
68,aa,930,1370
68,ao,530,860
68,ao,520,910
68,uh,510,1250
68,uh,520,1140
68,uw,360,660
68,uw,310,730
68,er,550,1500
68,er,480,1650
69,iy,300,2950
69,iy,320,3210
69,ih,550,2610
69,ih,540,2570
69,eh,700,2500
69,eh,600,2360
69,ae,970,2400
69,ae,950,2270
69,ah,780,1650
69,ah,720,1500
69,aa,950,1200
69,aa,920,1080
69,ao,790,1050
69,ao,750,1000
69,uh,540,1430
69,uh,530,1580
69,uw,420,1500
69,uw,450,1330
69,er,570,1880
69,er,510,1610
70,iy,280,2820
70,iy,317,3125
70,ih,460,2520
70,ih,420,2480
70,eh,657,2300
70,eh,672,2275
70,ae,808,1950
70,ae,870,2000
70,ah,706,1410
70,ah,720,1480
70,aa,950,1350
70,aa,910,1360
70,ao,700,1120
70,ao,690,920
70,uh,475,1250
70,uh,460,1210
70,uw,403,1100
70,uw,363,920
70,er,452,1580
70,er,510,1550
71,iy,280,3140
71,iy,300,3400
71,ih,450,2700
71,ih,400,2840
71,eh,580,2650
71,eh,620,2660
71,ae,910,2370
71,ae,930,2350
71,ah,770,1650
71,ah,690,1600
71,aa,970,1450
71,aa,1010,1650
71,ao,670,1160
71,ao,720,1260
71,uh,500,1640
71,uh,450,1440
71,uw,350,1160
71,uw,330,1090
71,er,430,1800
71,er,470,1840
72,iy,330,3050
72,iy,340,2860
72,ih,500,2720
72,ih,600,2750
72,eh,735,2450
72,eh,780,2560
72,ae,940,2020
72,ae,1070,2320
72,ah,860,1530
72,ah,970,1500
72,aa,780,1250
72,aa,970,970
